scenario,probability,duration_months,mean_return,median_return,std,p_profit,var_5pct,worst_1pct,sharpe,description
A_minor_incident,0.4,6,0.0301,0.0149,0.1721,0.5363,-0.2248,-0.3063,0.175,"IED, cyber, infrastructure sabotage — contained response"
B_coordinated,0.35,12,0.1548,0.1243,0.2749,0.6858,-0.2337,-0.3411,0.563,Multi-city coordinated attack — major federal response
C_mass_casualty,0.25,24,0.6896,0.5446,0.7326,0.8644,-0.1965,-0.3786,0.9414,Mass casualty event — 9/11-scale federal mobilization
