,Scenario A,Scenario B,Scenario C
Mean Return,0.06513297760540625,0.13642824519701477,0.1594603568168866
Median Return,0.06396483870937167,0.13775280677990281,0.16005145840493212
Prob Profit,0.764,0.9053,0.8863
5% VaR,-0.0806693437000645,-0.03665576947254349,-0.05868263079155785
Worst 1%,-0.14335331699348655,-0.10661781169829519,-0.14699868935824714
Sharpe-like,1.0205096565954412,1.8498681097795815,1.6958670962684135
